"","Andrena_sp","Anthophora_sp","Apis_mellifera","Attagenus_sp","Bombus_terrestris","Bombylius_sp","Cantharidae_sp","Colletes_sp","Dasypoda_sp","Diptera_sp7","Episyrphus_sp","Eristalis_sp","Eucera_sp","Eupeodes_sp","Hymenoptera_sp1","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Malthodes_sp","Megachilidae_sp","Metasyrphus_corollae","Nitidulidae_sp1","Paragus_tibialis","Rhyncomyia_cupraea","Sphaerophoria_scripta","Syrphidae_sp1","Syrphidae_sp2","Syrphidae_sp3","Syrphidae_sp4","Xylocopa_cantabrita"
"106",3.60726424884746e-05,0,0.000614124878181706,0,0,0,0,0,0,0,0,0,0.000151221616896212,0,0,0,0.000202695151014539,0,4.25441728922658e-05,0,0.000855609291688708,0,0,0,0,0,0,0,0,0,0,0,0
"107",0,0,0,0,0,0,0,0,0,0,0,0,0.000151221616896212,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",0,0,0,0.00190276926905351,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",3.60726424884746e-05,0,0,0,0,0,0,0,0,0.000147599701028664,0,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0.000659753943514767,0,0,0,4.00673003134962e-05,0,0
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0.000855609291688708,0,0,0,0,0,0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",0,0,0,0,0.000425807751620069,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0.000855609291688708,0,0.00222230358329834,0,0,0,0,0,0,0,4.00673003134962e-05,0,0
"114",0,0,0,0,0,0,0,0,0.00185093702778604,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",0,0,0.000614124878181706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",3.60726424884746e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,4.25441728922658e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",0,0,0.000614124878181706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0.000855609291688708,0,0,0,0,0,0.000659753943514767,0,0,0,0,0,0
"118",0,0,0.000614124878181706,0,0,0.007749498794231,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",0,0,0,0,0,0,0,0.00179647348838721,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0.000659753943514767,0,0,0,0,0,0
"121",0,0,0.000614124878181706,0,0,0,0,0,0,0,0,0.00090863922497675,0.000151221616896212,0,0,0,0.000202695151014539,0,4.25441728922658e-05,0,0.000855609291688708,0,0,0,0,0,0,0,0,0,0,0,0
"122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0.000855609291688708,0,0,0,0,0,0,0,0,0,0,0,0
"123",0,0,0.000614124878181706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0.000855609291688708,0,0,0,0,0,0,0,0,0,0,0,3.43516156908311e-05
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00673003134962e-05,0,3.43516156908311e-05
"126",0,0,0,0,0,0.007749498794231,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43516156908311e-05
"127",0,0,0,0,0,0.007749498794231,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0,0,0,0,0,0,3.43516156908311e-05
"129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43516156908311e-05
"130",0,0.00339652736567554,0.000614124878181706,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43516156908311e-05
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0,0,0,0.00012998527233898,4.00673003134962e-05,0,0
"132",0,0,0.000614124878181706,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0.00127647424375993,0,0.000202695151014539,0,4.25441728922658e-05,0.000358974802379617,0.000855609291688708,0,0,0,0,0.00223090137048755,0,0,0,0,0,0,0
"133",3.60726424884746e-05,0,0.000614124878181706,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,4.25441728922658e-05,0,0,0.00513739750923401,0,0,0,0,0,0,0,0,0,0,3.43516156908311e-05
"134",0,0,0.000614124878181706,0,0,0,0,0,0,0,0.00393910511659296,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",0,0,0,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",0,0,0,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",0,0,0.000614124878181706,0,0,0,0,0,0,0,0,0,0,0,0,0.00114526601888831,0.000202695151014539,0,0,0.000358974802379617,0.000855609291688708,0,0,0,0,0,0,0,0,0,0,0,0
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0.000855609291688708,0,0,0,0,0,0,0,0,0,0,0,3.43516156908311e-05
"139",0,0,0.000614124878181706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0.000855609291688708,0,0,0,7.9550766379296e-05,0,0,0,0,0,4.00673003134962e-05,0,0
"140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43516156908311e-05
"141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",0,0,0.000614124878181706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0.00012998527233898,0,0,0
"143",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000482186062142765,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,7.9550766379296e-05,0,0.000659753943514767,0,0.0029789740146637,0,0,0.000474339841259555,0
"144",0,0,0,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0,0,0,0,0.000855609291688708,0,0,0,0,0,0,0,0,0,4.00673003134962e-05,0,0
"145",3.60726424884746e-05,0,0,0,0,0.007749498794231,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0,0.00113092120674944,0,0,4.00673003134962e-05,0,0
"146",0,0,0.000614124878181706,0,0,0,0.000555839691229754,0,0,0,0,0,0,0,0,0.00114526601888831,0.000202695151014539,0,0,0.000358974802379617,0.000855609291688708,0,0,0,0,0,0,0,0,0,0,0,3.43516156908311e-05
"147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0.000855609291688708,0,0,0,0,0,0,0,0,0,0,0,0
"148",0,0,0,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0.000855609291688708,0,0,0,7.9550766379296e-05,0,0,0,0,0,0,0,0
"149",0,0,0,0.00190276926905351,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000474339841259555,0
"151",0,0,0,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0,0.000855609291688708,0,0,0,0,0,0,0,0,0,4.00673003134962e-05,0.000474339841259555,3.43516156908311e-05
"152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0.000855609291688708,0,0,0,0,0,0,0,0,0,0,0,0
"153",0,0,0,0,0.000425807751620069,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00673003134962e-05,0,0
"154",0,0,0,0.00190276926905351,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00673003134962e-05,0,0
"155",0,0,0,0,0,0.007749498794231,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0,0,0,0,4.00673003134962e-05,0,0
"156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0,0,0,0,0,0,0
"157",0,0.00339652736567554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0.000855609291688708,0,0,0,0,0,0,0,0,0,0,0,0
"158",0,0,0,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0,0.000855609291688708,0.00513739750923401,0,0,0,0,0,0,0,0,0,0,0
"160",0,0,0,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",0,0,0,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00673003134962e-05,0,0
"162",0,0,0,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163",0,0,0,0,0,0.007749498794231,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0.000855609291688708,0,0,0,0,0,0,0,0,0,0,0,0
"164",0,0,0,0,0.000425807751620069,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0.000659753943514767,0,0,0,0,0,0
"165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,7.9550766379296e-05,0,0,0,0,0,0,0,0
"181",0,0,0,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0.0099737294222568,0,0.000358974802379617,0,0,0,0,0,0,0,0,0,0,0,0,3.43516156908311e-05
"182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",0,0,0,0,0,0,0,0.00179647348838721,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",0,0,0.000614124878181706,0,0.000425807751620069,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0,0.000855609291688708,0,0,0,0,0,0,0,0,0.00012998527233898,0,0,0
"185",0,0,0.000614124878181706,0,0.000425807751620069,0,0,0,0,0,0,0.00090863922497675,0,0,0,0.00114526601888831,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",0,0,0.000614124878181706,0,0.000425807751620069,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0.0099737294222568,0,0.000358974802379617,0,0,0,0,0,0,0.000659753943514767,0,0,0,0,0,3.43516156908311e-05
"187",0,0,0.000614124878181706,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0.0099737294222568,0,0.000358974802379617,0,0,0,0,7.9550766379296e-05,0,0,0,0,0,0,0,0
"188",0,0,0,0,0,0,0,0.00179647348838721,0,0,0,0,0.000151221616896212,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0,0.00113092120674944,0,0,0,0,0
"189",0,0,0.000614124878181706,0,0,0,0,0.00179647348838721,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0.000855609291688708,0,0,0,0,0,0,0,0,0,0,0,0
"190",0,0,0,0,0,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",0,0.00339652736567554,0.000614124878181706,0,0.000425807751620069,0,0,0,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00673003134962e-05,0,0
"193",0,0,0.000614124878181706,0,0,0,0,0,0.00185093702778604,0,0,0,0,0,0,0,0.000202695151014539,0,4.25441728922658e-05,0.000358974802379617,0.000855609291688708,0,0,0.00040162688232941,0,0,0,0,0,0,0,0,0
"194",0,0,0,0,0,0,0,0.00179647348838721,0,0,0,0.00090863922497675,0,0,0,0,0.000202695151014539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195",0,0,0,0,0,0,0,0.00179647348838721,0,0,0,0,0,0,0,0,0.000202695151014539,0,0,0.000358974802379617,0,0,0,0,0,0,0,0,0,0,0,0,0
