"","Ancistrocerus_sp","Andrena_sp","Anthrenus_sp","Apis_mellifera","Bombus_terrestris","Bombylius_sp","Ceratina_sp","Chalicodoma_sicula","Chasmatopterus_sp","Chelostoma_sp","Chrysolina_americana","Dasypoda_sp","Deilus_sp","Diodontus_insidiosus","Diptera_sp1","Diptera_sp3","Diptera_sp4","Diptera_sp6","Diptera_sp7","Diptera_sp8","Episyrphus_sp","Eristalis_sp","Halictidae_sp1","Halictus_sp","Heliotaurus_ruficollis","Hylaeus_sp","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp6","Lindenius_luteiventris","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Megachilidae_sp","Microlepidoptera","Mordellidae_sp","Mylabris_sp","Nitidulidae_sp1","Nomada_sp","Nustera_distigma","Oedemera_sp","Phthiria_sp","Phthiria_sp1","Rhyncomyia_cupraea","Scaeva_sp","Sphaerophoria_scripta","Syrphidae_sp3","Syrphidae_sp4","Syrphidae_sp5","Tiphia_morio","Usia_sp","Vespidae","Vespula_sp","Xylocopa_cantabrita"
"366",0,0,0,0,0.0126681163775393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390133099369888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"367",0.055198762085217,0.000473369595317367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167034564787183,0,0,0,0,0,0,0,0.00390133099369888,0.0310370010430236,0,0,0,0,0,0,0,0,0,0,0,0.0296305768840987,0,0,0,0.0012961292692194,0,0.00177530920557103,0,0,0,0,0,0,0,0
"368",0,0,0.0024379267753354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00994382661503134,0,0,0,0.00390133099369888,0,0.000256844760047952,0,0,0,0,0,0,0,0,0,0,0.0296305768840987,0,0,0,0.0012961292692194,0,0.00177530920557103,0,0,0,0,0,0,0,0
"369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106976172666356,0,0,0,0,0,0,0,0,0,0,0,0.00390133099369888,0.0310370010430236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012961292692194,0,0,0,0,0.579657742703809,0,0,0,0,0.00337442589280405
"370",0,0.000473369595317367,0.0024379267753354,0.000247825409996605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00746841682307645,0,0,0,0,0.00390133099369888,0.0310370010430236,0,0,0,0,0,0,0,0,0,0,0,0.0296305768840987,0,0,0,0.0012961292692194,0.0108492160649014,0,0,0,0,0,0,0.00726419575052314,0,0
"371",0,0.000473369595317367,0.0024379267753354,0,0.0126681163775393,0,0.00793158563293197,0,0,0,0,0.000841041309017258,0,0,0,0,0,0,0,0,0.0120754618323784,0,0.00746841682307645,0,0,0,0,0.00390133099369888,0.0310370010430236,0,0,0,0,0,0,0,0,0,0,0,0.0296305768840987,0,0,0,0.0012961292692194,0,0.00177530920557103,0,0,0,0,0,0.00726419575052314,0.0351145407211048,0
"372",0,0,0.0024379267753354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390133099369888,0,0,0,0,0,0,0,0,0.120295726258143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106976172666356,0,0,0,0,0,0,0,0.00994382661503134,0,0,0,0.00390133099369888,0,0,0,0.00767101102502453,0,0,0,0,0,0,0,0,0.0296305768840987,0,0,0,0.0012961292692194,0,0,0,0,0,0,0,0,0,0
"374",0,0,0,0,0,0,0.00793158563293197,0,0,0,0,0,0,0,0.0100105952547174,0,0,0,0.00927560745584159,0,0,0,0,0.00994382661503134,0,0,0,0.00390133099369888,0,0,0,0,0,0,0,0,0,0.0108409734955698,0,0,0,0,0,0,0.0012961292692194,0,0,0,0,0,0,0,0.00726419575052314,0,0
"375",0,0,0.0024379267753354,0,0.0126681163775393,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00927560745584159,0,0,0,0,0.00994382661503134,0,0,0,0.00390133099369888,0,0,0,0.00767101102502453,0,0,0,0,0,0,0,0,0,0,0.0346448475244467,0,0.0012961292692194,0,0,0,0,0,0,0,0,0,0.00337442589280405
